中文,英文,页码,缩写
2 ，3-二磷酸甘油酸,2，3-diphosphoglycerate,154,['2，3-DPG']
4 期自动去极化,phase 4 spontaneous depolarization,93,无
5-羟色胺,5-hydroxytryptamine,"251, 297",5-HT
α2-抗纤溶酶,α2-antiplasmin,73,α2-AP
α僵直,α-rigidity,313,无
α阻断,alpha block,327,无
β-内啡肽,β-endorphin,127,无
γ-氨基丁酸,gamma aminobutyric acid,252,GABA
γ僵直,γ-rigidity,312,无
Ca2+释放通道,calcium release channel,26,无
Ca2+-CaM 依赖性蛋白激酶,Ca2+/CaM-dependent protein kinase,26,CaMK
cAMP 激活的交换蛋白,exchange protein activated by cAMP,26,EPAC
CO2解离曲线,carbon dioxide dissociation curve,156,无
C 肽,C peptide,373,无
C 型利尿钠肽,C-type natriuretic peptide,127,CNP
G 蛋白,G protein,24,无
G 蛋白耦联受体,G protein-coupled receptor,23,GPCR
G 蛋白效应器,G protein effector,24,无
Hb 氧饱和度,oxygen saturation of Hb,152,无
Hb 氧含量,oxygen content of Hb,152,无
Hb 氧容量,oxygen capacity of Hb,152,无
IP3受体,IP3 receptor,26,IP3R
K+平衡电位,K+ equilibrium potential,30,EK
L 管,L tubule,44,无
L 型钙电流,L-type calcium current,92,I Ca-L
L 型钙通道,L-type calcium channel,45,无
Mas 相关 G 蛋白耦联受体,Mas-related G-protein-coupled receptor,251,Mrgpr
N2型 ACh 受体阳离子通道,N2-ACh receptor cation channel,43,无
Na+-Ca2+交换电流,Na+-Ca2+ exchange current,92,INa-Ca
Na+-Cl-共转运体,Na+-Cl-cotransporter,222,NCC
Na+平衡电位,Na+ equilibrium potential,30,ENa
Na+-葡萄糖耦联转运体,sodium-glucose linked cotransporter,225,SGLT
PR 段,P-R segment,103,无
PR 间期,P-R interval,103,无
P 波,P wave,102,无
P 物质,substance P,251,SP
QRS 波群,QRS complex,103,无
QT 间期,Q-T interval,103,无
ST 段,S-T segment,104,无
Toll 样受体,Toll-like receptor,251,TLR
T 波,T wave,103,无
T 管,T tubule,44,无
T 型钙电流,T-type calcium current,94,I Ca-T
U 波,U wave,103,无
阿尔茨海默病,Alzheimer ’s disease,296,AD
阿米洛利,amiloride,278,无
阿片肽,opioid peptide,127,无
阿托品,atropine,296,无
氨基甲酰血红蛋白,carbaminohemoglobin,154,无
胺类激素,amine hormone,340,无
暗电流,dark current,261,无
暗视觉,scotopic vision,260,无
暗适应,dark adaptation,265,无
巴宾斯基征,Babinski sign,318,无
白蛋白尿,albuminuria,216,无
白三烯,leukotriene,379,无
白体,corpus albicans,388,无
白细胞,leukocyte； white blood cell,54,WBC
半规管,semicircular canal,274,无
胞膜受体,membrane receptor,22,无
胞内分泌,intracrine,23,无
饱中枢,satiety center,202,无
保钾利尿剂,potassium sparing diuretic,225,无
背侧呼吸组,dorsal respiratory group,157,DRG
背根神经节,dorsal root ganglia,246,DRG
被动转运,passive transport,15,无
本能行为,instinctual behavior,324,无
本体感觉,proprioception,249,无
本体感受性反射,proprioceptive reflex,162,无
比奥呼吸,Biot breathing,157,无
比顺应性　,specific compliance,140,无
闭环系统,closed-loop system,10,无
壁细胞,parietal cell,171,无
避孕,contraception,399,无
编码,coding,244,无
变力状态,inotropic state,86,无
表面活性物质蛋白,surfactant-associated protein,141,SP
表面张力,surface tension,140,无
表皮生长因子,epidermal  growth factor,177,EGF
表现型,phenotype,75,无
波尔效应,Bohr effect,153,无
搏出量储备,stroke volume reserve,83,无
补充运动区,supplementary motor area,318,无
补呼气量,expiratory reserve volume,144,ERV
补吸气量,inspiratory reserve volume,144,IRV
不感蒸发,insensible evaporation,208,无
不完全强直收缩,incomplete tetanus,49,无
餐后碱潮,postprandial alkaline tide,172,无
苍白球,globus pallidus,314,无
侧向抑制,lateral inhibition,245,无
产热,heat production,206,无
长度常数,length constant,40,无
长度- 张力关系曲线,length-tension relation curve,48,无
长反馈,long-loop feedback,346,无
长期调节,long-term regulation,128,无
长时程记忆,long-term memory,333,无
长时程抑制,long-term depression,292,LTD
长时程增强,long-term potentiation,291,LTP
长吸式呼吸,apneusis,157,无
长吸中枢,apneustic center,157,无
肠道微生态,intestinal microecology,193,无
肠肝循环,enterohepatic circulation,182,无
肠激酶,enterokinase,180,无
肠泌酸素,entero-oxyntin,175,无
肠屏障,intestinal barrier,194,无
肠神经系统,enteric nervous system,167,ENS
肠嗜铬样细胞,enterochromaffin-like cell,171,ECL cell
肠- 胃反射　,entero-gastric reflex,177,无
肠- 胰岛轴　,enteroinsular axis,377,无
肠抑胃素,enterogastrone,177,无
超常期,supranormal period,96,SNP
超短反馈,ultrashort-loop feedback,346,无
超极化,hyperpolarization,29,无
超极化激活的环核苷酸门控阳离子通道,hyperpolarization-activated cyclic nucleotide-gated cation channel,25,HCN
超滤液,ultrafiltrate,218,无
超射,overshoot,31,无
超声心动图,echocardiography,88,无
超速驱动阻抑,overdrive suppression,100,无
潮气量,tidal volume,144,TV
陈- 施呼吸　,Cheyne-Stokes respiration,157,无
陈述性记忆,declarative memory,332,无
成分输血,blood components transfusion,77,无
成瘾,addiction,326,无
惩罚系统,punishment system,325,无
弛缓性瘫痪,flaccid paralysis,318,无
冲动,impulse,37,无
重调定,resetting,123,无
重摄取,reuptake,289,无
重吸收,reabsorption,117,无
出胞作用,exocytosis,20,无
出汗,sweating,208,无
出血时间,bleeding time,66,无
初步止血,primary hemostasis,67,无
初级卵泡,primary follicle,387,无
初级运动皮层,primary motor cortex,317,无
初长度,initial length,48,无
触点,touch point,246,无
触觉阈,tactile sensation threshold,248,无
传导,conduction,37,无
传导性,conductivity,90,无
传导性失语症,conduction aphasia,335,无
传入侧支抑制,afferent collateral inhibition,302,无
喘息中枢,gasping center,157,无
串话,cross-talk,23,无
雌二醇,estradiol,2,E
雌激素,estrogen,388,无
雌酮,estrone,1,E
次级卵泡,secondary follicle,387,无
次级运动皮层,secondary motor cortex,317,无
刺激,stimulus,36,无
促红细胞生成素,erythropoietin,59,EPO
促激素,trophic hormone,349,无
促甲状腺激素受体,TSH receptor,362,无
促代谢型受体,metabotropic receptor,23,无
促离子型受体,ionotropic receptor,23,无
促生长激素释放素,ghrelin,202,无
促食欲素,orexin,202,无
促胃液素,gastrin,175,无
促胃液素释放肽　,gastrin-releasing peptide,173,GRP
促胰酶素,pancreozymin,181,PZ
大小原则,size principle,49,无
代偿间歇,compensatory pause,97,无
单纯扩散,simple diffusion,14,无
单个单位平滑肌,single-unit smooth muscle,50,无
单核吞噬细胞系统,mononuclear  phagocyte  system,62,无
单核细胞,monocyte,61,无
单收缩,single twitch,49,无
单突触反射,monosynaptic reflex,299,无
单线式联系,single-line connection,299,无
单向传播,one-way conduction,300,无
单眼视觉,monocular vision,266,无
胆钙化醇,cholecalciferol,365,无
胆碱能神经元,cholinergic neuron,295,无
胆碱能受体,cholinergic receptor,295,无
胆碱能系统,cholinergic system,295,无
胆碱能纤维,cholinergic fiber,295,无
胆汁,bile,181,无
蛋白激酶,protein kinase,25,无
蛋白激酶A,protein kinase A,25,PKA
蛋白激酶C,protein kinase C,25,PKC
蛋白激酶G　,protein kinase G,27,PKG
蛋白磷酸化,protein phosphorylation,25,无
蛋白磷酸酶,protein phosphatase,25,无
蛋白酶活化受体2,protease activated receptor2,251,无
蛋白尿,proteinuria,216,无
蛋白质C,protein C,71,PC
等容收缩期,isovolumic contraction period,80,无
等容舒张期,isovolumic relaxation period,81,无
等渗溶液,iso-osmotic solution,55,无
等张溶液,isotonic solution,55,无
等张收缩,isotonic contraction,48,无
等长收缩,isometric contraction,48,无
低渗尿,hypoosmotic urine,227,无
低氧,hypoxia,163,无
低氧诱导因子-1,hypoxia-inducible  factor-1,60,HIF-1
递质共存,neurotransmitter co-existence,293,无
第二信使,second messenger,24,无
第二信使学说,second  messenger  hypothesis,342,无
碘捕获,iodide trap,357,无
碘阻滞效应,iodine blocking effect,363,无
电- 化学驱动力　,electrochemical  driving force,29,无
电- 机械耦联　,electromechanical coupling,51,无
电紧张电位,electrotonic potential,40,无
电紧张耦联,electrotonic coupling,286,无
电突触,electrical synapse,285,无
电压门控通道,voltage-gated ion channel,15,无
电压钳,voltage clamp,33,无
电阈,electrical threshold,166,无
定比重吸收,constant fraction reabsorption,226,无
定向突触,directed  synapse； targeted  synapse,286,无
动机,motivation,326,无
动静脉短路,arterio-venous shunt,116,无
动脉脉搏,arterial pulse,112,无
动脉血压,arterial blood pressure,109,无
动作电位,action potential,31,无
动作电位时程,action  potential duration,91,APD
窦性节律,sinus rhythm,99,无
毒蕈碱受体,muscarinic  receptor,296,M  receptor
毒蕈碱样作用,muscarine-like action,296,无
短反馈,short-loop feedback,346,无
短期调节,short-term regulation,128,无
短时程记忆,short-term memory,332,无
对比色学说,opponent color theory,262,无
对侧伸肌反射,crossed-extensor reflex,310,无
多巴胺,dopamine,297,DA
多个单位平滑肌,multiunit smooth muscle,50,无
多觉型感受器,polymodal receptor,249,无
多肽或蛋白质类激素,polypeptide and protein hormone,340,无
多突触反射,polysynaptic reflex,299,无
多纤维总和,multiple fiber summation,49,无
多形核白细胞,polymorphonuclear leukocyte,61,无
恶性高热,malignant hyperthermia,48,无
恶性循环,vicious cycle,11,无
儿茶酚胺,catecholamine,296,无
耳蜗,cochlea,268,无
耳蜗内电位,endocochlear potential,272,EP
耳蜗微音器电位,cochlear microphonic potential,272,CMP
二碘酪氨酸,diiodotyrosine,357,DIT
二价金属转运体1　,divalent metal transporter1　,190,无
二联体,diad,45,无
二期止血,secondary hemostasis,67,无
二酰甘油,diacylglycerol,25,DG
发绀,cyanosis,152,无
发怒,rage,325,无
发生器电位,generator potential,243,无
发育,development,400,无
反极化,reverse polarization,29,无
反馈,feedback,10,无
反牵张反射,inverse stretch reflex,311,无
反射,reflex,9,无
反射运动,reflex movement,308,无
反向定型,reverse typing,75,无
反向转运,antiport,20,无
反向转运体,antiporter,20,无
防御反应,defense reaction,325,无
房室延搁,atrioventricular delay,98,无
放置反应,placing response,319,无
非陈述性记忆,nondeclarative memory,332,无
非弹性阻力,inelastic resistance,142,无
非蛋白呼吸商,non-protein respiratory quotient,199,NPRQ
非定向突触,non-directed synapse； non-targeted synapse,286,无
非基因组效应,nongenomic effect,343,无
非联合型学习,nonassociative learning,332,无
非特异性投射系统,non-specific projection system,305,无
非条件反射,unconditioned reflex,299,无
非突触性化学传递,non-synaptic chemical transmission,288,无
非战栗产热,non-shivering thermogenesis,207,无
肺表面活性物质,pulmonary surfactant,141,无
肺换气,gas exchange in lungs,147,无
肺活量,vital capacity,144,VC
肺扩张反射,pulmonary inflation reflex,162,无
肺内压,alveolar pressure； intrapulmonary pressure,136,无
肺泡通气量,alveolar ventilation,146,无
肺泡无效腔,alveolar dead space,146,无
肺牵张反射,pulmonary stretch reflex,161,无
肺容积,pulmonary volume,144,无
肺容量,pulmonary capacity,144,无
肺通气,pulmonary ventilation,135,无
肺通气量,pulmonary ventilation volume,145,无
肺萎陷反射,pulmonary deflation reflex,162,无
肺循环,pulmonary circulation,131,无
肺总量,total lung capacity,145,TLC
分节运动,segmentation,183,无
分泌,secretion,220,无
分娩,parturition,396,无
分压,partial pressure,147,无
分子伴娘,molecular chaperone,27,无
分子开关,molecular switch,24,无
锋电位,spike potential,32,无
缝隙连接,gap junction,38,无
呋塞米,furosemide,222,无
辐辏反射,convergence reflex,255,无
辐散式联系,divergent connection,299,无
辅脂酶,colipase,180,无
负反馈,negative feedback,10,无
复极化,repolarization,29,无
复视,diplopia,266,无
复制性衰老,replicative senescence,408,无
副交感神经系统,parasympathetic nervous system,319,无
腹侧呼吸组,ventral respiratory group,157,VRG
腹式呼吸,abdominal breathing,136,无
腹下神经,hypogastric nerve,239,无
钙泵,calcium pump,19,无
钙调蛋白,calmodulin,26,CaM
钙调节激素,calcium regulating hormone,363,无
钙调磷酸酶,calcineurin,26,无
钙火花,calcium spark,26,无
钙结合蛋白,calcium-binding protein,26,CaBP； calbindin
钙三醇,calcitriol,341,无
钙致钙释放,calcium-induced calcium release,47,CICR
甘氨酸,glycine,252,Gly
肝功能不全,hepatic insufficiency,186,无
肝衰竭,hepatic failure,186,无
肝素,heparin,72,无
感觉,sensation,242,无
感觉单位,sensory unit,244,无
感觉器官,sense organ,242,无
感觉失语症,sensory aphasia,335,无
感觉运动区,sensorimotor area,306,无
